Dia;Ultimo;Abertura;Maxima;Minima;Variacao;Volume
2018-12-31;14882;15394,5;15394,5;14760;-3,33;100
2018-12-30;15394,5;15114;15400;15000;1,86;30
2018-12-29;15114;15400;15950;15020;-2,07;90
2018-12-28;15433;14479;15650;14301;6,8;260
2018-12-27;14450;15337,8;15888;14305;-5,79;300
2018-12-26;15337,8;15536,5;15800;14802;-1,28;210
2018-12-25;15536,5;16066;17000;15000;-3,3;170
2018-12-24;16066;15700;16966,5;15550;2,7;210
2018-12-23;15643;15689,2;15990;15455;0,27;80
2018-12-22;15600,1;15550,2;15800;15080;0,32;90
2018-12-21;15550,2;15805;16788;15000;-1,61;380
2018-12-20;15805;14800;16445;14540;6,79;410
2018-12-19;14800;14669;16000;14340;0,89;480
2018-12-18;14669;13740,7;15000;13460;6,76;230
2018-12-17;13740,7;12602,5;13995;12501;9,03;310
2018-12-16;12602,5;12687,9;12797,5;12511,1;-0,67;40
2018-12-15;12687,9;12651;12860;12501;-0,1;60
2018-12-14;12700;13021;13160;12600;-3,05;210
2018-12-13;13100;13402;13684;12909;-2,25;210
2018-12-12;13402;13487,6;13632;13262;-0,63;180
2018-12-11;13487,6;13532;13822;13117,1;-0,33;200
2018-12-10;13532;13761;14195;13407;-1,66;270
2018-12-09;13761;13341;14100;13151;3,15;70
2018-12-08;13341;13315,3;13501;13000,8;0,19;70
2018-12-07;13315,3;13901;14050;12544;-4,21;370
2018-12-06;13901;14535;14920;13900;-4,93;230
2018-12-05;14622;15076,3;15497;14512;-3,01;190
2018-12-04;15076,3;14978;15499;14701;0,66;190
2018-12-03;14978;16149,3;16200;14850;-7,25;260
2018-12-02;16149,3;16127,1;16499;15800;0,14;60
2018-12-01;16127,1;15600;16700;15385;3,38;100
2018-11-30;15600;16700;16700;15027;-6,59;210
2018-11-29;16700;16669,5;17486;16066;0,18;260
2018-11-28;16669,5;14825;17000;14825;12,4;340
2018-11-27;14830;14800;15100;14329;0,2;220
2018-11-26;14800;15071,3;15799;14200;-1,8;290
2018-11-25;15071,3;14902;16000;13900;1,07;210
2018-11-24;14912;16750;16921;14202;-10,97;240
2018-11-23;16750;17000;17697;16470;-2,62;240
2018-11-22;17200;17770;18198;17000;-3,1;270
2018-11-21;17750;15790;18300;15207;12,41;280
2018-11-20;15790;18248,5;19000;15550;-12,79;380
2018-11-19;18105;21069,5;21150;17803;-14,07;290
2018-11-18;21069,5;21129,2;21297;20954;-0,28;30
2018-11-17;21129,2;21050;21400;20801;0,38;40
2018-11-16;21050;21100;22300;20450;-0,24;150
2018-11-15;21100;21999;22297;20178,7;-4,09;120
2018-11-14;21999;24298;24300;21500;-9,46;270
2018-11-13;24298;24050;24446;23956,2;1,03;80
2018-11-12;24050;24130;24310;24000;-0,33;80
2018-11-11;24130;24282;24299;24005;-0,63;20
2018-11-10;24282;24190,1;24300;24000;0,38;20
2018-11-09;24190,1;24450;24450;24000;-1,07;80
2018-11-08;24451;24651;24800;24200;-1,17;100
2018-11-07;24740;24295;24884;24202;2,22;120
2018-11-06;24202;24150;24500;23600;0,22;140
2018-11-05;24150;23599;24229,3;23301;2,34;170
2018-11-04;23598;23400;23790;23090;0,85;40
2018-11-03;23400;23750;23750;23352;-1,47;20
2018-11-02;23750;23963;23964,9;23345,9;-0,89;20
2018-11-01;23963;23800;24000;22200;0,68;110
2018-10-31;23800;23450;24000;23270,5;1,49;100
2018-10-30;23450;23400;23690;23000;-0,19;80
2018-10-29;23494,8;23213,2;23650;22200;1,21;170
2018-10-28;23213,2;23610;23757,8;23213,2;-1,67;20
2018-10-27;23608;23800,2;23999;23601;-0,81;20
2018-10-26;23800,2;24003;24274;23700;-0,84;70
2018-10-25;24002,5;24225;24396;23903;-0,92;70
2018-10-24;24225;24045,5;24400;23500;0,74;120
2018-10-23;24046;23908,2;24300;23650;0,58;90
2018-10-22;23908,2;24195;24398;23900;-0,8;130
2018-10-21;24100;24091;24288,7;24060;0,04;10
2018-10-20;24091;24189;24289;24000;-0,41;20
2018-10-19;24189;24457,6;24480;23820;-1,1;80
2018-10-18;24457,6;24299;24499;24125;0,65;80
2018-10-17;24299;24400;24549;24101;-0,09;90
2018-10-16;24320,2;24498;24600;24100;-0,73;100
2018-10-15;24498;23862;25495;23803,5;1,78;190
2018-10-14;24068,9;24090;24095;23536,9;-0,09;40
2018-10-13;24090;24062,8;24124;23700;0,11;20
2018-10-12;24062,8;23815;24190;23710;1,04;50
2018-10-11;23815;25141;25280;23623,3;-5,8;330
2018-10-10;25280;25231,5;25600;24900;0,19;150
2018-10-09;25231,5;25680;25881,1;25000;-1,75;140
2018-10-08;25680;25695;25940;25200;-0,06;160
2018-10-07;25695;25870;26300;25540;-0,68;30
2018-10-06;25870;26060,2;26260;25850;-0,73;20
2018-10-05;26060,2;25883,1;26300;25711,1;0,68;100
2018-10-04;25883,1;25808;26400;25612;0,29;100
2018-10-03;25808;26352;26548;25262,2;-2,79;200
2018-10-02;26548;27054;27100;26066;-1,87;170
2018-10-01;27054;26730,1;27100;26688,1;1,21;110
2018-09-30;26730,1;26820;26999,9;26712;-0,34;20
